,code,company,old_price,new_price,returns
76,263050,유틸렉스,30200,53000,75.49668874172187
77,011200,HMM,12750,22100,73.33333333333334
78,025440,대성엘텍,704,1220,73.29545454545455
79,062860,티엘아이,7330,12700,73.26057298772169
80,058430,포스코강판,15700,27150,72.92993630573248
81,063440,SM Life Design,1760,3035,72.44318181818181
82,023350,한국종합기술,4300,7380,71.6279069767442
83,272450,진에어,12550,21350,70.1195219123506
84,001430,세아베스틸,10100,17000,68.31683168316832
85,053260,금강철강,3330,5600,68.16816816816818
86,018500,동원금속,717,1205,68.06136680613668
87,086980,쇼박스,3065,5120,67.047308319739
88,027710,팜스토리,1150,1920,66.95652173913042
89,036580,팜스코,4390,7320,66.74259681093395
90,130740,티피씨글로벌,2705,4500,66.35859519408503
91,025820,이구산업,1955,3250,66.24040920716112
92,003670,포스코케미칼,91000,151000,65.93406593406594
93,077360,덕산하이메탈,7460,12350,65.54959785522789
94,086890,이수앱지스,7010,11600,65.47788873038516
95,011210,현대위아,48800,80200,64.34426229508196
96,024120,KB오토시스,6070,9950,63.92092257001647
97,299910,베스파,10750,17600,63.72093023255814
98,140860,파크시스템스,71300,116600,63.53436185133239
99,015750,성우하이텍,3885,6340,63.19176319176319
100,013720,청보산업,8850,14400,62.71186440677967
101,007700,F&F 홀딩스,83500,135000,61.67664670658684
102,012340,뉴인텍,2500,4035,61.40000000000001
103,128540,에코캡,2920,4710,61.30136986301369
104,001360,삼성제약,3925,6330,61.27388535031848
105,024910,경창산업,1875,3020,61.06666666666667
106,017000,신원종합개발,4400,7080,60.909090909090914
107,042700,한미반도체,13450,21600,60.59479553903346
108,024810,이화전기,184,294,59.78260869565217
109,097800,윈팩,1845,2945,59.62059620596205
110,066430,와이오엠,1720,2745,59.59302325581395
111,065500,오리엔트정공,862,1375,59.512761020881676
112,016880,웅진,1120,1780,58.928571428571416
113,025870,신라에스지,9030,14350,58.914728682170534
114,900280,골든센츄리,305,484,58.68852459016394
115,072770,율호,1510,2395,58.609271523178805
116,003160,디아이,4380,6940,58.44748858447488
117,036200,유니셈,7610,12050,58.3442838370565
118,036540,SFA반도체,5320,8410,58.08270676691729
119,054450,텔레칩스,11800,18650,58.05084745762712
120,014820,동원시스템즈,28800,45500,57.986111111111114
121,177350,베셀,3615,5710,57.95297372060857
122,101390,아이엠,732,1155,57.78688524590163
123,094360,칩스앤미디어,11000,17350,57.72727272727274
124,064290,인텍플러스,13600,21450,57.720588235294116
125,006340,대원전선,1015,1600,57.63546798029557
126,028670,팬오션,4115,6480,57.4726609963548
127,319400,현대무벡스,3240,5100,57.40740740740742
128,011300,성안,375,590,57.33333333333333
129,010240,흥국,5470,8600,57.22120658135283
130,199150,데이터스트림즈,6370,9990,56.828885400313965
131,140070,서플러스글로벌,2800,4390,56.785714285714285
132,162120,루켄테크놀러지스,5750,8980,56.17391304347825
133,007120,미래아이앤지,344,537,56.10465116279071
134,194370,제이에스코퍼레이션,7370,11500,56.03799185888738
135,048530,인트론바이오,16100,25050,55.590062111801245
136,195870,해성디에스,19750,30700,55.44303797468355
137,064760,티씨케이,103100,160200,55.3831231813773
138,080220,제주반도체,3645,5660,55.28120713305897
139,011780,금호석유화학,139500,216500,55.197132616487465
140,088350,한화생명,2160,3350,55.09259259259258
141,123750,알톤스포츠,3575,5540,54.965034965034974
142,036420,제이콘텐트리,30200,46750,54.80132450331126
143,092590,럭스피아,1270,1965,54.72440944881889
144,104480,티케이케미칼,2015,3115,54.59057071960298
145,122640,예스티,9590,14800,54.32742440041709
146,051980,센트럴바이오,1755,2705,54.13105413105412
147,014160,대영포장,1755,2700,53.846153846153854
148,234100,세원,4260,6550,53.75586854460095
149,126560,현대퓨처넷,3215,4940,53.654743390357694
150,217500,러셀,3000,4600,53.33333333333334
151,136490,선진,10450,16000,53.110047846889955
152,114630,우노앤컴퍼니,4240,6490,53.06603773584906
153,047050,포스코인터내셔널,14100,21550,52.836879432624116
154,228340,동양파일,3345,5110,52.765321375186836
155,013700,까뮤이앤씨,2050,3125,52.4390243902439
156,225570,넷게임즈,9100,13850,52.19780219780219
157,036090,위지트,1180,1795,52.1186440677966
158,016740,두올,3380,5130,51.775147928994095
159,060900,대한그린파워,1110,1680,51.35135135135136
