,code,company,old_price,new_price,returns
36,009520,포스코엠텍,9940,9170,-7.746478873239438
151,114630,우노앤컴퍼니,6490,5970,-8.012326656394453
223,097520,엠씨넥스,52000,47700,-8.269230769230774
22,160550,NEW,10750,9850,-8.372093023255811
14,096040,이트론,895,816,-8.826815642458097
207,058630,엠게임,9100,8270,-9.120879120879122
49,011500,한농화성,15950,14300,-10.344827586206895
122,094360,칩스앤미디어,17350,15550,-10.374639769452454
192,241840,에이스토리,36100,32350,-10.387811634349031
234,217330,싸이토젠,56300,50200,-10.834813499111906
117,036540,SFA반도체,8410,7480,-11.058263971462544
58,232530,이엠티,4500,4000,-11.111111111111116
184,064260,다날,7810,6940,-11.139564660691425
218,092600,앤씨앤,5660,5020,-11.307420494699649
266,045970,코아시아,11750,10400,-11.489361702127665
86,086980,쇼박스,5120,4515,-11.81640625
297,244880,나눔테크,2780,2445,-12.050359712230218
28,036030,KTH,12750,11150,-12.549019607843137
177,100030,모바일리더,24000,20950,-12.708333333333332
53,038880,아이에이,1455,1270,-12.714776632302405
147,234100,세원,6550,5690,-13.129770992366407
29,151910,나노스,7600,6600,-13.157894736842103
44,222080,씨아이에스,13600,11800,-13.235294117647056
37,189300,인텔리안테크,76300,66200,-13.237221494102226
154,013700,까뮤이앤씨,3125,2700,-13.600000000000001
54,056080,유진로봇,4635,3995,-13.807982740021574
15,006220,제주은행,9050,7800,-13.812154696132595
166,117730,티로보틱스,9990,8550,-14.414414414414411
236,300120,라온피플,27150,23200,-14.548802946592998
241,080580,오킨스전자,26450,22600,-14.555765595463132
181,067570,엔브이에이치코리아,6000,5120,-14.66666666666666
187,012860,모베이스전자,3205,2705,-15.600624024960997
262,227420,도부마스크,6740,5650,-16.172106824925812
120,177350,베셀,5710,4780,-16.287215411558662
59,218150,미래생명자원,6020,5030,-16.445182724252494
212,104540,코렌텍,19400,16150,-16.752577319587626
284,267810,앙츠,1845,1535,-16.80216802168022
7,053270,구영테크,5290,4325,-18.241965973534967
35,032860,휴먼엔,11300,9230,-18.31858407079646
23,103660,씨앗,7390,5950,-19.485791610284164
110,065500,오리엔트정공,1375,1100,-19.999999999999996
176,251280,안지오랩,13800,11000,-20.28985507246377
160,004410,서울식품공업,455,355,-21.978021978021978
286,053450,세코닉스,8320,6440,-22.596153846153843
155,225570,넷게임즈,13850,10700,-22.743682310469314
108,097800,윈팩,2945,2270,-22.92020373514432
145,051980,센트럴바이오,2705,2085,-22.92051756007394
156,036090,위지트,1795,1380,-23.11977715877437
20,046390,삼화네트웍스,4330,3325,-23.21016166281755
230,052020,에스티큐브,11350,8680,-23.524229074889867
62,258250,셀젠텍,15900,12000,-24.52830188679245
168,950180,SNK,28450,21300,-25.131810193321613
175,053800,안랩,92000,68400,-25.652173913043473
174,006650,대한유화,342500,250000,-27.00729927007299
78,062860,티엘아이,12700,9270,-27.007874015748033
204,086520,에코프로,65500,46500,-29.007633587786263
6,048410,현대바이오,49600,35050,-29.334677419354836
16,009070,케이씨티시,10500,7400,-29.52380952380952
67,013520,화승코퍼레이션,3650,2370,-35.06849315068493
75,263050,유틸렉스,53000,33500,-36.79245283018868
190,219750,지티지웰니스,7210,4290,-40.499306518724
2,004140,동방,11200,6270,-44.01785714285714
30,156100,엘앤케이바이오,37750,20550,-45.562913907284766
19,073190,듀오백,7750,4025,-48.064516129032256
60,299030,하나기술,126900,62800,-50.51221434200157
18,279060,이노벡스,6650,3170,-52.33082706766917
131,162120,루켄테크놀러지스,8980,3720,-58.57461024498887
57,139670,키네마스터,51000,19250,-62.254901960784316
245,208860,엔지스테크널러지,6300,2205,-65.0
100,007700,F&F 홀딩스,135000,38450,-71.51851851851852
265,071090,하이스틸,25100,3530,-85.93625498007968
74,004090,한국석유공업,168500,17000,-89.91097922848664
