init start
company_info exists 
daily_price exists 
Not first trial
codes's size is [2449]
[2021-06-03 10:00] #0140 REPLACE INTO company_info VALUES (086710, 선진뷰티사이언스, 2021-06-03)
[2021-06-03 10:00] #0141 REPLACE INTO company_info VALUES (080470, 성창오토텍, 2021-06-03)
[2021-06-03 10:00] #0142 REPLACE INTO company_info VALUES (011560, 세보엠이씨, 2021-06-03)
[2021-06-03 10:00] #0143 REPLACE INTO company_info VALUES (258830, 세종메디칼, 2021-06-03)
[2021-06-03 10:00] #0144 REPLACE INTO company_info VALUES (208370, 셀바스헬스케어, 2021-06-03)
[2021-06-03 10:00] #0145 REPLACE INTO company_info VALUES (068760, 셀트리온제약, 2021-06-03)
[2021-06-03 10:00] #0146 REPLACE INTO company_info VALUES (158310, 스타모빌리티, 2021-06-03)
[2021-06-03 10:00] #0147 REPLACE INTO company_info VALUES (204630, 스튜디오산타클로스, 2021-06-03)
[2021-06-03 10:00] #0148 REPLACE INTO company_info VALUES (013810, 스페코, 2021-06-03)
[2021-06-03 10:00] #0149 REPLACE INTO company_info VALUES (049830, 승일, 2021-06-03)
[2021-06-03 10:00] #0150 REPLACE INTO company_info VALUES (139050, 시티랩스, 2021-06-03)
[2021-06-03 10:00] #0151 REPLACE INTO company_info VALUES (344050, 신영스팩6호, 2021-06-03)
[2021-06-03 10:00] #0152 REPLACE INTO company_info VALUES (222800, 심텍, 2021-06-03)
[2021-06-03 10:00] #0153 REPLACE INTO company_info VALUES (010280, 쌍용정보통신, 2021-06-03)
[2021-06-03 10:00] #0154 REPLACE INTO company_info VALUES (208640, 썸에이지, 2021-06-03)
[2021-06-03 10:00] #0155 REPLACE INTO company_info VALUES (189330, 씨이랩, 2021-06-03)
[2021-06-03 10:00] #0156 REPLACE INTO company_info VALUES (900120, 씨케이에이치, 2021-06-03)
[2021-06-03 10:00] #0157 REPLACE INTO company_info VALUES (123860, 아나패스, 2021-06-03)
[2021-06-03 10:00] #0158 REPLACE INTO company_info VALUES (339950, 아이비김영, 2021-06-03)
[2021-06-03 10:00] #0159 REPLACE INTO company_info VALUES (099190, 아이센스, 2021-06-03)
[2021-06-03 10:00] #0160 REPLACE INTO company_info VALUES (040910, 아이씨디, 2021-06-03)
[2021-06-03 10:00] #0161 REPLACE INTO company_info VALUES (068940, 아이씨케이, 2021-06-03)
[2021-06-03 10:00] #0162 REPLACE INTO company_info VALUES (078860, 아이오케이, 2021-06-03)
[2021-06-03 10:00] #0163 REPLACE INTO company_info VALUES (114810, 아이원스, 2021-06-03)
[2021-06-03 10:00] #0164 REPLACE INTO company_info VALUES (031310, 아이즈비전, 2021-06-03)
[2021-06-03 10:00] #0165 REPLACE INTO company_info VALUES (124500, 아이티센, 2021-06-03)
[2021-06-03 10:00] #0166 REPLACE INTO company_info VALUES (096610, 알에프세미, 2021-06-03)
[2021-06-03 10:00] #0167 REPLACE INTO company_info VALUES (061040, 알에프텍, 2021-06-03)
[2021-06-03 10:00] #0168 REPLACE INTO company_info VALUES (102120, 어보브반도체, 2021-06-03)
[2021-06-03 10:00] #0169 REPLACE INTO company_info VALUES (103230, 에스앤더블류, 2021-06-03)
[2021-06-03 10:00] #0170 REPLACE INTO company_info VALUES (101490, 에스앤에스텍, 2021-06-03)
[2021-06-03 10:00] #0171 REPLACE INTO company_info VALUES (095910, 에스에너지, 2021-06-03)
[2021-06-03 10:00] #0172 REPLACE INTO company_info VALUES (043340, 에쎈테크, 2021-06-03)
[2021-06-03 10:00] #0173 REPLACE INTO company_info VALUES (200710, 에이디테크놀로지, 2021-06-03)
[2021-06-03 10:00] #0174 REPLACE INTO company_info VALUES (096690, 에이루트, 2021-06-03)
[2021-06-03 10:00] #0175 REPLACE INTO company_info VALUES (241840, 에이스토리, 2021-06-03)
[2021-06-03 10:00] #0176 REPLACE INTO company_info VALUES (043220, 에이치엘비파워, 2021-06-03)
[2021-06-03 10:00] #0177 REPLACE INTO company_info VALUES (021080, 에이티넘인베스트, 2021-06-03)
[2021-06-03 10:00] #0178 REPLACE INTO company_info VALUES (950130, 엑세스바이오, 2021-06-03)
[2021-06-03 10:00] #0179 REPLACE INTO company_info VALUES (092870, 엑시콘, 2021-06-03)
[2021-06-03 10:00] #0180 REPLACE INTO company_info VALUES (101400, 엔시트론, 2021-06-03)
[2021-06-03 10:00] #0181 REPLACE INTO company_info VALUES (138690, 엘아이에스, 2021-06-03)
[2021-06-03 10:00] #0182 REPLACE INTO company_info VALUES (058630, 엠게임, 2021-06-03)
[2021-06-03 10:00] #0183 REPLACE INTO company_info VALUES (019590, 엠벤처투자, 2021-06-03)
[2021-06-03 10:00] #0184 REPLACE INTO company_info VALUES (097520, 엠씨넥스, 2021-06-03)
[2021-06-03 10:00] #0185 REPLACE INTO company_info VALUES (265560, 영화테크, 2021-06-03)
[2021-06-03 10:00] #0186 REPLACE INTO company_info VALUES (122640, 예스티, 2021-06-03)
[2021-06-03 10:00] #0187 REPLACE INTO company_info VALUES (045060, 오공, 2021-06-03)
[2021-06-03 10:00] #0188 REPLACE INTO company_info VALUES (048260, 오스템임플란트, 2021-06-03)
[2021-06-03 10:00] #0189 REPLACE INTO company_info VALUES (049480, 오픈베이스, 2021-06-03)
[2021-06-03 10:00] #0190 REPLACE INTO company_info VALUES (109080, 옵티시스, 2021-06-03)
[2021-06-03 10:00] #0191 REPLACE INTO company_info VALUES (053080, 원방테크, 2021-06-03)
[2021-06-03 10:00] #0192 REPLACE INTO company_info VALUES (074600, 원익QnC, 2021-06-03)
[2021-06-03 10:00] #0193 REPLACE INTO company_info VALUES (065950, 웰크론, 2021-06-03)
[2021-06-03 10:00] #0194 REPLACE INTO company_info VALUES (036090, 위지트, 2021-06-03)
[2021-06-03 10:00] #0195 REPLACE INTO company_info VALUES (203450, 유니온커뮤니티, 2021-06-03)
[2021-06-03 10:00] #0196 REPLACE INTO company_info VALUES (241690, 유니테크노, 2021-06-03)
[2021-06-03 10:00] #0197 REPLACE INTO company_info VALUES (078070, 유비쿼스홀딩스, 2021-06-03)
[2021-06-03 10:00] #0198 REPLACE INTO company_info VALUES (054930, 유신, 2021-06-03)
[2021-06-03 10:00] #0199 REPLACE INTO company_info VALUES (336060, 유안타제5호스팩, 2021-06-03)
[2021-06-03 10:00] #0200 REPLACE INTO company_info VALUES (367460, 유안타제7호스팩, 2021-06-03)
